,Models,Mean Absolute Error,Root Mean Squared Error,Accuracy
0,Elastic Net,0.02925452626570984,0.04200295360251691,0.43548387096774194
1,Random Forest,0.029541531188260566,0.043318079994800564,0.5483870967741935
2,Gradient Boosting,0.029174927412515372,0.04288172779458171,0.5
3,Average of all model,0.029046809404961623,0.04233042493275537,0.532258064516129
